column,dtype,null_pct,unique_pct,avg_len,label,source_file
PERSON_ID,integer,0.0,1.0,5.2208955223880595,,PlayerIndex_nba_stats.csv
PLAYER_LAST_NAME,text,0.0,0.5982089552238806,6.5379104477611945,,PlayerIndex_nba_stats.csv
PLAYER_FIRST_NAME,text,0.0001990049751243781,0.3309452736318408,5.022292993630574,,PlayerIndex_nba_stats.csv
PLAYER_SLUG,text,0.0,0.9920398009950249,12.525174129353234,drop_column,PlayerIndex_nba_stats.csv
TEAM_ID,integer,0.0,0.008955223880597015,10.0,,PlayerIndex_nba_stats.csv
TEAM_SLUG,text,0.05293532338308458,0.005970149253731343,6.458499684807733,fill_mode,PlayerIndex_nba_stats.csv
IS_DEFUNCT,integer,0.0,0.0003980099502487562,1.0,,PlayerIndex_nba_stats.csv
TEAM_CITY,text,0.0,0.007562189054726368,8.275820895522388,,PlayerIndex_nba_stats.csv
TEAM_NAME,text,0.0,0.00855721393034826,6.6447761194029855,,PlayerIndex_nba_stats.csv
TEAM_ABBREVIATION,text,0.0,0.008756218905472637,3.0,,PlayerIndex_nba_stats.csv
JERSEY_NUMBER,text,0.06985074626865671,0.02447761194029851,1.763157894736842,cast_to_int,PlayerIndex_nba_stats.csv
POSITION,text,0.00955223880597015,0.0013930348258706469,1.213381555153707,cast_to_int,PlayerIndex_nba_stats.csv
HEIGHT,text,0.009353233830845771,0.005572139303482587,3.148252310164725,cast_to_int,PlayerIndex_nba_stats.csv
WEIGHT,float,0.01054726368159204,0.02965174129353234,5.0,,PlayerIndex_nba_stats.csv
COLLEGE,text,0.0001990049751243781,0.14149253731343284,10.57484076433121,,PlayerIndex_nba_stats.csv
COUNTRY,text,0.0,0.015920398009950248,3.47681592039801,,PlayerIndex_nba_stats.csv
DRAFT_YEAR,float,0.263681592039801,0.015522388059701492,6.0,fill_mean,PlayerIndex_nba_stats.csv
DRAFT_ROUND,float,0.3030845771144279,0.003781094527363184,3.0119931467732726,fill_mean,PlayerIndex_nba_stats.csv
DRAFT_NUMBER,float,0.31661691542288556,0.033233830845771146,3.8351776354106,,PlayerIndex_nba_stats.csv
ROSTER_STATUS,float,0.8937313432835821,0.0001990049751243781,3.0,drop_column,PlayerIndex_nba_stats.csv
PTS,float,0.004776119402985075,0.051144278606965174,3.1817636472705457,fill_mean,PlayerIndex_nba_stats.csv
REB,float,0.06288557213930349,0.02746268656716418,3.014015714589085,,PlayerIndex_nba_stats.csv
AST,float,0.004776119402985075,0.018706467661691543,3.0007998400319935,fill_mean,PlayerIndex_nba_stats.csv
STATS_TIMEFRAME,text,0.0,0.0003980099502487562,6.0,,PlayerIndex_nba_stats.csv
FROM_YEAR,integer,0.0,0.01572139303482587,4.0,,PlayerIndex_nba_stats.csv
TO_YEAR,integer,0.0,0.01572139303482587,4.0,,PlayerIndex_nba_stats.csv
